#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
49,Emerson Hancock,SEA,6,4,0,17,17,97.2,8.48,2.21,1.11,.250,78.9%,41.1%,11.1%,95.5,3.23,4.33,3.68,3.77,1.6
50,Tarik Skubal,DET,4,4,0,11,11,65.2,10.28,1.10,1.23,.270,73.4%,45.7%,17.0%,97.1,3.15,3.26,3.11,2.55,1.6
51,Jacob Latz,TEX,1,1,18,33,1,42.0,9.21,1.93,0.64,.144,82.6%,41.4%,6.7%,94.8,1.71,2.47,2.63,3.33,1.6
52,Michael King,SDP,5,7,0,18,18,102.1,7.74,3.61,0.88,.249,76.1%,46.2%,9.4%,94.0,3.52,4.56,4.10,4.40,1.5
53,José Soriano,LAA,8,5,0,18,18,100.0,9.99,4.41,1.08,.286,79.5%,52.5%,15.4%,97.5,3.42,4.33,4.01,3.63,1.5
54,Adrian Morejon,SDP,6,2,1,41,0,46.0,10.57,2.15,0.59,.311,67.6%,63.1%,13.0%,99.1,3.52,2.59,2.46,2.37,1.5
55,Cade Smith,CLE,2,1,26,38,0,40.1,12.72,2.23,0.67,.347,72.4%,41.8%,8.3%,96.7,2.90,3.52,2.07,2.46,1.5
56,Eduardo Rodriguez,ARI,7,3,0,18,18,108.0,6.17,3.17,0.83,.244,86.5%,40.6%,8.3%,92.0,2.25,4.98,4.00,4.48,1.5
57,Bryce Elder,ATL,5,6,0,17,17,98.2,7.57,2.74,1.09,.274,70.6%,42.7%,11.1%,92.7,4.01,3.60,3.98,4.06,1.5
58,Trevor Rogers,BAL,6,7,0,16,16,84.1,6.94,3.09,0.96,.286,66.4%,36.4%,7.5%,93.4,4.70,4.13,4.02,4.80,1.5
59,Jack Flaherty,DET,2,8,0,17,17,76.1,10.85,4.36,0.94,.324,66.2%,30.8%,7.8%,93.0,4.60,4.30,3.75,4.42,1.5
60,Andre Pallante,STL,10,5,0,17,17,95.0,6.63,2.56,0.85,.280,75.0%,53.9%,10.3%,95.2,3.60,3.68,3.91,4.07,1.4
